"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"417","Might & Magic: Heroes VI - Shades of Darkness","May 2, 2013","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Virtuos","Ubisoft"
"418","Flashpoint Campaigns: Red Storm Player's Edition","Oct 9, 2013","$49.99","80% (91%)","0 .. 20,000","00:00 (00:00)","On Target Simulations","Slitherine Ltd."
"436","Gravi","Oct 8, 2013","$4.99","13% (53%)","0 .. 20,000","00:00 (00:00)","Hashbang Games",""
"439","The Game of Life","Jun 10, 2013","$9.99","4% (33%)","0 .. 20,000","00:00 (00:00)","Virtuos","PopCap"
"442","DIVO","Feb 1, 2013","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Internal Games","Internal Games"
"448","LogoMaker 4","Dec 4, 2013","$29.99","19% (60%)","0 .. 20,000","00:00 (00:00)","Studio V5","Studio V5"
"455","World Basketball Tycoon","Nov 18, 2013","$2.99","1% (11%)","0 .. 20,000","00:00 (00:00)","","Strategy First"
"458","Train Simulator: Pacific Surfliner LA - San Diego Route","Oct 17, 2013","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dovetail Games","Dovetail Games - Trains"
"464","Dark Matter","Oct 17, 2013","$9.99","7% (40%)","0 .. 20,000","00:00 (00:00)","InterWave Studios","Iceberg Interactive"
"470","Train Simulator: East Coast Main Line London-Peterborough Route Add-On","Dec 5, 2013","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dovetail Games","Dovetail Games - Trains"
"481","Deathtrap Dungeon","Oct 3, 2013","$6.99","28% (67%)","0 .. 20,000","00:00 (00:00)","","Square Enix"
"483","Aartform Curvy 3D 3.0","Nov 12, 2013","$99.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Aartform","Aartform"
"492","Virtual DJ - Broadcaster Edition","Mar 7, 2013","N/A","9% (46%)","0 .. 20,000","00:00 (00:00)","Atomix Productions","Focus Home Interactive"
"493","Perfection.","Aug 28, 2013","$2.99","15% (55%)","0 .. 20,000","00:00 (00:00)","Greg Lobanov",""
"497","Pulse Shift","Jan 23, 2013","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","3 Core Studio","3 Core Studio"
"501","Affairs of the Court: Choice of Romance","Aug 16, 2013","$5.99","43% (76%)","0 .. 20,000","00:00 (00:00)","Choice of Games","Choice of Games"
"505","Slam Bolt Scrappers","Mar 14, 2013","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fire Hose Games","Fire Hose Games"
"506","Driver Fusion - The Best Driver & Device Solution","May 6, 2013","Free","28% (67%)","0 .. 20,000","00:10 (00:06)","Treexy","Treexy"
"508","RaySupreme 3D","Dec 16, 2013","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BrainDistrict","BrainDistrict"
"512","Darkfall Unholy Wars","Apr 25, 2013","N/A","25% (65%)","0 .. 20,000","00:00 (00:00)","Aventurine SA","Aventurine"
"514","Space Ace","Aug 27, 2013","$9.99","80% (91%)","0 .. 20,000","00:00 (00:00)","Digital Leisure Inc.","Digital Leisure Inc."
