"X.","Game","Release.date","Price","Score.rank.Userscore...Metascore.","Owners","Playtime..Median.","Developer.s.","Publisher.s."
149,"Sniper Elite V2","Apr 30, 2012","$19.99","68% (87%/66%)","2,000,000 .. 5,000,000","02:18 (01:07)","Rebellion","Rebellion"
154,"Guns of Icarus Online","Oct 29, 2012","$4.99","83% (92%/64%)","2,000,000 .. 5,000,000","10:00 (01:52)","Muse Games","Muse Games"
246,"Gotham City Impostors Free to Play","Aug 30, 2012","Free","60% (84%)","2,000,000 .. 5,000,000","00:37 (00:39)","Monolith Productions, Inc.","Warner Bros. Interactive Entertainment"
355,"Castle Crashers","Sep 26, 2012","$14.99","95% (96%)","2,000,000 .. 5,000,000","03:31 (01:24)","The Behemoth","The Behemoth"
10,"Super Hexagon","Nov 27, 2012","$2.99","97% (97%/88%)","1,000,000 .. 2,000,000","00:11 (00:09)","Terry Cavanagh","Terry Cavanagh"
11,"Max Payne 3","May 31, 2012","$19.99","55% (82%/87%)","1,000,000 .. 2,000,000","01:29 (01:48)","Rockstar Studios","Rockstar Games"
33,"Sins of a Solar Empire: Rebellion","Jun 12, 2012","$39.99","83% (92%/82%)","1,000,000 .. 2,000,000","05:56 (06:34)","Ironclad Games, Stardock Entertainment","Stardock Entertainment"
41,"To the Moon","Sep 7, 2012","$9.99","95% (96%/81%)","1,000,000 .. 2,000,000","01:40 (02:26)","Freebird Games","Freebird Games"
46,"Natural Selection 2","Oct 30, 2012","$9.99","63% (85%/80%)","1,000,000 .. 2,000,000","02:19 (00:35)","Unknown Worlds Entertainment","Unknown Worlds Entertainment"
54,"Assassin’s Creed III","Nov 20, 2012","$19.99","39% (74%/80%)","1,000,000 .. 2,000,000","03:07 (00:39)","Ubisoft Montreal","Ubisoft"
72,"The Darkness II","Feb 6, 2012","$29.99","74% (89%/77%)","1,000,000 .. 2,000,000","01:13 (01:18)","Digital Extremes","2K"
74,"Endless Space - Collection","Jul 4, 2012","$19.99","51% (80%/77%)","1,000,000 .. 2,000,000","02:28 (02:38)","AMPLITUDE Studios","SEGA"
83,"Vindictus","Jun 22, 2012","Free","36% (72%/76%)","1,000,000 .. 2,000,000","11:49 (30:06)","Nexon","Nexon America Inc."
85,"Spec Ops: The Line","Jun 25, 2012","$29.99","87% (93%/76%)","1,000,000 .. 2,000,000","13:56 (01:29)","YAGER","2K, Missing Link Games"
92,"Scribblenauts Unlimited","Nov 19, 2012","$19.99","80% (91%/75%)","1,000,000 .. 2,000,000","01:48 (02:20)","5th Cell Media","Warner Bros. Interactive Entertainment"
98,"Stronghold Kingdoms","Feb 27, 2012","Free","25% (65%/75%)","1,000,000 .. 2,000,000","49:04 (49:03)","FireFly Studios","FireFly Studios"
120,"Alan Wake's American Nightmare","May 22, 2012","$8.99","33% (70%/73%)","1,000,000 .. 2,000,000","03:55 (02:36)","Remedy Entertainment","Remedy Entertainment"
121,"Worms Revolution","Oct 10, 2012","$2.99","60% (84%/73%)","1,000,000 .. 2,000,000","03:58 (01:16)","Team17 Digital Ltd","Team17 Digital Ltd"
136,"Risen 2: Dark Waters","Apr 26, 2012","$9.99","43% (76%/69%)","1,000,000 .. 2,000,000","11:15 (10:05)","Piranha Bytes","Deep Silver"
147,"Star Trek Online","Jan 31, 2012","Free","43% (76%/66%)","1,000,000 .. 2,000,000","07:35 (08:53)","Cryptic Studios","Perfect World Entertainment"
155,"Hell Yeah! Wrath of the Dead Rabbit","Oct 3, 2012","$14.99","66% (86%/64%)","1,000,000 .. 2,000,000","00:27 (00:23)","Arkedo","SEGA"
168,"POSTAL 2","Nov 2, 2012","$9.99","93% (95%/59%)","1,000,000 .. 2,000,000","02:56 (01:40)","Running With Scissors","Running With Scissors"
191,"Cortex Command","Sep 28, 2012","$19.99","53% (81%/44%)","1,000,000 .. 2,000,000","03:18 (03:51)","Data Realms","Data Realms, LLC"
266,"MapleStory","Aug 9, 2012","Free","30% (68%)","1,000,000 .. 2,000,000","12:43 (13:30)","Nexon","Nexon America Inc."
319,"Jet Set Radio","Sep 19, 2012","$7.99","71% (88%)","1,000,000 .. 2,000,000","01:19 (01:35)","Blit Software","SEGA"
366,"Viking: Battle for Asgard","Oct 17, 2012","$14.99","13% (52%)","1,000,000 .. 2,000,000","12:56 (04:18)","Creative Assembly, PC Port - Hardlight","SEGA"
368,"Super Crate Box","Aug 29, 2012","Free","74% (89%)","1,000,000 .. 2,000,000","00:04 (00:01)","Vlambeer","Vlambeer"
1,"Thief Gold","May 22, 2012","$6.99","83% (92%/92%)","500,000 .. 1,000,000","00:17 (00:11)","Looking Glass Studios","Square Enix"
34,"Legend of Grimrock","Apr 11, 2012","$14.99","90% (94%/82%)","500,000 .. 1,000,000","02:44 (02:02)","Almost Human Games","Almost Human Games"
37,"Divine Divinity","Jul 5, 2012","$5.99","68% (87%/81%)","500,000 .. 1,000,000","02:18 (03:03)","Larian Studios","Larian Studios"
39,"Waveform","Mar 20, 2012","$1.99","60% (84%/81%)","500,000 .. 1,000,000","00:28 (00:09)","Eden Industries","Eden Industries"
40,"Lone Survivor: The Director's Cut","Apr 23, 2012","$14.99","71% (88%/81%)","500,000 .. 1,000,000","00:00 (00:00)","Jasper Byrne","Superflat Games"
42,"Wargame: European Escalation","Feb 22, 2012","$9.99","41% (75%/81%)","500,000 .. 1,000,000","03:10 (02:38)","Eugen Systems","Focus Home Interactive"
43,"Kingdoms of Amalur: Reckoning","Feb 7, 2012","$19.99","68% (87%/81%)","500,000 .. 1,000,000","02:46 (03:13)","Big Huge Games, 38 Studios","38 Studios, Electronic Arts"
51,"LEGO The Lord of the Rings","Nov 27, 2012","$19.99","74% (89%/80%)","500,000 .. 1,000,000","02:52 (01:25)","Traveller's Tales","Warner Bros. Interactive Entertainment"
66,"Deadlight","Oct 25, 2012","$14.99","51% (80%/78%)","500,000 .. 1,000,000","03:58 (01:19)","Tequila Works, S.L.","Microsoft Studios"
75,"Giana Sisters: Twisted Dreams","Oct 22, 2012","$14.99","60% (84%/77%)","500,000 .. 1,000,000","00:00 (00:00)","Black Forest Games","HandyGames, Black Forest Games"
78,"Thomas Was Alone","Nov 12, 2012","$9.99","90% (94%/77%)","500,000 .. 1,000,000","00:00 (00:00)","Bithell Games","Bithell Games"
82,"Prototype 2","Jul 24, 2012","$39.99","24% (64%/76%)","500,000 .. 1,000,000","01:50 (01:07)","Radical Entertainment","Activision"
95,"Tiny and Big: Grandpa's Leftovers","Jun 19, 2012","$9.99","83% (92%/75%)","500,000 .. 1,000,000","00:00 (00:00)","Black Pants Studio","Black Pants Studio"
107,"Serious Sam 2","Jan 31, 2012","$9.99","71% (88%/74%)","500,000 .. 1,000,000","02:16 (01:29)","Croteam","Devolver Digital"
108,"Deponia","Aug 6, 2012","$9.99","74% (89%/74%)","500,000 .. 1,000,000","01:43 (02:16)","Daedalic Entertainment","Daedalic Entertainment"
125,"Shank 2","Feb 7, 2012","$9.99","55% (82%/72%)","500,000 .. 1,000,000","01:01 (01:01)","Klei Entertainment","Klei Entertainment"
127,"Warlock - Master of the Arcane","May 8, 2012","$24.99","66% (86%/71%)","500,000 .. 1,000,000","02:40 (00:53)","Ino-Co Plus","Paradox Interactive"
139,"Binary Domain","Apr 27, 2012","$14.99","63% (85%/68%)","500,000 .. 1,000,000","00:46 (01:00)","Devil's Details","SEGA"
141,"Little Inferno","Nov 19, 2012","$9.99","90% (94%/68%)","500,000 .. 1,000,000","00:00 (00:00)","Tomorrow Corporation","Tomorrow Corporation"
153,"Painkiller Hell & Damnation","Oct 31, 2012","$19.99","43% (76%/64%)","500,000 .. 1,000,000","00:08 (00:02)","The Farm 51","THQ Nordic"
156,"Pid","Oct 31, 2012","$9.99","34% (71%/63%)","500,000 .. 1,000,000","00:00 (00:00)","Might and Delight","Might and Delight"
167,"Lucius","Oct 26, 2012","$1.99","49% (79%/59%)","500,000 .. 1,000,000","03:02 (04:02)","Shiver Games","Shiver Games"
209,"Tomb Raider III","Nov 28, 2012","$6.99","58% (83%)","500,000 .. 1,000,000","00:00 (00:00)","Core Design","Square Enix"
215,"Doom 3: BFG Edition","Oct 15, 2012","$19.99","55% (82%)","500,000 .. 1,000,000","00:19 (00:12)","id Software","Bethesda Softworks"
220,"Superbrothers: Sword & Sworcery EP","Apr 16, 2012","$7.99","49% (79%)","500,000 .. 1,000,000","00:00 (00:00)","Capybara, Superbrothers, Jim Guthrie","Capybara Games"
227,"Continent of the Ninth Seal","Sep 13, 2012","Free","36% (72%)","500,000 .. 1,000,000","00:00 (00:00)","Cloud 9 Studio","Webzen"
239,"Sonic Adventure 2","Nov 19, 2012","$9.99","60% (84%)","500,000 .. 1,000,000","01:53 (02:32)","SEGA","SEGA"
241,"Tomb Raider IV: The Last Revelation","Nov 28, 2012","$6.99","63% (85%)","500,000 .. 1,000,000","00:00 (00:00)","Core Design","Square Enix"
242,"Mabinogi","Dec 6, 2012","Free","38% (73%)","500,000 .. 1,000,000","43:09 (14:23)","NEXON Korea Corp.","Nexon America Inc."
275,"Everquest","Dec 13, 2012","Free","38% (73%)","500,000 .. 1,000,000","00:00 (00:00)","Daybreak Game Company","Daybreak Game Company"
280,"Really Big Sky","Feb 24, 2012","$4.99","41% (75%)","500,000 .. 1,000,000","02:40 (00:53)","Boss Baddie","Ripstone"
293,"Dungeons & Dragons Online","Jun 25, 2012","Free","36% (72%)","500,000 .. 1,000,000","02:15 (02:46)","Standing Stone Games, LLC","Standing Stone Games, LLC"
296,"Dwarfs - F2P","Oct 18, 2012","Free","63% (85%)","500,000 .. 1,000,000","02:10 (00:43)","Power of 2","Tripwire Interactive"
307,"Tomb Raider II","Nov 28, 2012","$6.99","66% (86%)","500,000 .. 1,000,000","00:03 (00:01)","Core Design","Square Enix"
315,"Sacred 2 Gold","Dec 21, 2012","$14.99","36% (72%)","500,000 .. 1,000,000","00:00 (00:00)","Ascaron","Deep Silver"
320,"Divinity II: Developer's Cut","Oct 29, 2012","$19.99","53% (81%)","500,000 .. 1,000,000","00:15 (00:12)","Larian Studios","Larian Studios, Focus Home Interactive"
325,"Stronghold 3 Gold","May 25, 2012","$29.99","3% (26%)","500,000 .. 1,000,000","00:53 (00:52)","FireFly Studios","FireFly Studios"
331,"Tomb Raider V: Chronicles","Nov 28, 2012","$6.99","36% (72%)","500,000 .. 1,000,000","00:00 (00:00)","Core Design","Square Enix"
344,"Tomb Raider VI: The Angel of Darkness","Nov 28, 2012","$6.99","14% (54%)","500,000 .. 1,000,000","00:00 (00:00)","Core Design","Square Enix"
353,"Dragon Nest","Dec 18, 2012","Free","39% (74%)","500,000 .. 1,000,000","02:25 (01:36)","Eyedentity Games Inc.","Eyedentity Games Inc."
371,"Planets Under Attack","Sep 27, 2012","$9.99","25% (65%)","500,000 .. 1,000,000","03:22 (03:51)","Targem Games","Topware Interactive"
374,"Tomb Raider I","Nov 28, 2012","$6.99","55% (82%)","500,000 .. 1,000,000","00:06 (00:03)","Core Design","Square Enix"
12,"Thief II: The Metal Age","May 22, 2012","$6.99","87% (93%/87%)","200,000 .. 500,000","00:01 (00:00)","Looking Glass Studios","Square Enix"
16,"Rayman Origins","Mar 29, 2012","$19.99","87% (93%/86%)","200,000 .. 500,000","00:32 (00:27)","UBIart Montpellier, Feral Interactive (Mac)","Ubisoft, Feral Interactive (Mac)"
27,"Galactic Civilizations I: Ultimate Edition","Aug 14, 2012","$9.99","8% (44%/83%)","200,000 .. 500,000","07:32 (02:30)","Stardock Entertainment","Stardock Entertainment"
31,"Botanicula","May 7, 2012","$9.99","95% (96%/82%)","200,000 .. 500,000","00:09 (00:03)","Amanita Design","Amanita Design"
32,"The Book of Unwritten Tales","Jul 31, 2012","$19.99","74% (89%/82%)","200,000 .. 500,000","00:00 (00:00)","KING Art","THQ Nordic"
36,"Wizorb","Mar 14, 2012","$2.99","45% (77%/81%)","200,000 .. 500,000","00:09 (00:03)","Tribute Games Inc.","Tribute Games Inc."
44,"Vessel","Mar 1, 2012","$19.99","68% (87%/81%)","200,000 .. 500,000","00:00 (00:00)","Strange Loop Games","IndiePub"
45,"PixelJunk Eden","Feb 2, 2012","$9.99","68% (87%/81%)","200,000 .. 500,000","00:00 (00:00)","Q-Games Ltd.","Q-Games Ltd."
47,"LEGO Harry Potter: Years 5-7","Jan 5, 2012","$19.99","66% (86%/80%)","200,000 .. 500,000","10:33 (07:01)","Traveller's Tales","Warner Bros. Interactive Entertainment"
49,"Stacking","Mar 6, 2012","$9.99","80% (91%/80%)","200,000 .. 500,000","00:00 (00:00)","Double Fine Productions","Double Fine Productions"
50,"Stealth Bastard Deluxe","Nov 28, 2012","$9.99","71% (88%/80%)","200,000 .. 500,000","00:00 (00:00)","Curve Studios","Curve Digital"
53,"F1 2012","Sep 17, 2012","$19.99","68% (87%/80%)","200,000 .. 500,000","04:19 (07:15)","Codemasters Birmingham","Codemasters"
57,"Intrusion 2","Sep 11, 2012","$9.99","77% (90%/80%)","200,000 .. 500,000","00:01 (00:00)","Aleksey Abramenko","Aleksey Abramenko"
59,"Dustforce DX","Jan 17, 2012","$9.99","87% (93%/79%)","200,000 .. 500,000","00:01 (00:00)","Hitbox Team",""
61,"Offspring Fling!","May 11, 2012","$7.99","71% (88%/79%)","200,000 .. 500,000","00:00 (00:00)","Kyle Pulver","Kyle Pulver"
62,"Waking Mars","Dec 13, 2012","$9.99","74% (89%/79%)","200,000 .. 500,000","00:00 (00:00)","Tiger Style","Tiger Style"
65,"Rocksmith","Oct 16, 2012","$29.99","77% (90%/78%)","200,000 .. 500,000","00:01 (00:00)","Ubisoft - San Francisco","Ubisoft"
68,"Condemned: Criminal Origins","Oct 29, 2012","$14.95","66% (86%/78%)","200,000 .. 500,000","00:09 (00:03)","Monolith","SEGA"
69,"Closure","Sep 7, 2012","$9.99","66% (86%/78%)","200,000 .. 500,000","01:01 (00:20)","Eyebrow Interactive","Eyebrow Interactive"
70,"Chaos on Deponia","Nov 6, 2012","$19.99","80% (91%/78%)","200,000 .. 500,000","02:01 (02:39)","Daedalic Entertainment","Daedalic Entertainment"
71,"Quantum Conundrum","Jun 21, 2012","$8.99","58% (83%/77%)","200,000 .. 500,000","00:00 (00:00)","Airtight Games","Square Enix"
73,"Magic: The Gathering - Duels of the Planeswalkers 2013","Jun 20, 2012","$9.99","68% (87%/77%)","200,000 .. 500,000","00:00 (00:00)","Stainless Games","Wizards of the Coast LLC"
76,"Legacy of Kain: Soul Reaver 2","Dec 6, 2012","$6.99","39% (74%/77%)","200,000 .. 500,000","08:45 (02:55)","Crystal Dynamics","Square Enix"
77,"Sine Mora","Nov 9, 2012","N/A","60% (84%/77%)","200,000 .. 500,000","00:00 (00:00)","Digital Reality","HandyGames"
80,"McPixel","Sep 25, 2012","$4.99","66% (86%/76%)","200,000 .. 500,000","00:46 (00:15)","Sos","Sos Mikolaj Kaminski"
84,"Insanely Twisted Shadow Planet","Apr 17, 2012","$14.99","71% (88%/76%)","200,000 .. 500,000","00:00 (00:00)","Shadow Planet Productions","Microsoft Studios"
87,"Ys Origin","May 31, 2012","$19.99","93% (95%/76%)","200,000 .. 500,000","04:52 (04:48)","Nihon Falcom","XSEED Games"
89,"Symphony","Aug 6, 2012","$8.99","68% (87%/75%)","200,000 .. 500,000","01:37 (00:32)","Empty Clip Studios","Empty Clip Studios"
91,"The Dark Eye: Chains of Satinav","Jun 22, 2012","$19.99","66% (86%/75%)","200,000 .. 500,000","01:52 (02:01)","Daedalic Entertainment","Daedalic Entertainment"
93,"Half Minute Hero: Super Mega Neo Climax Ultimate Boy","Sep 27, 2012","$9.99","77% (90%/75%)","200,000 .. 500,000","00:05 (00:03)","Opus","Marvelous"
96,"Edna & Harvey: Harvey's New Eyes","Oct 16, 2012","$19.99","80% (91%/75%)","200,000 .. 500,000","00:47 (00:31)","Daedalic Entertainment","Daedalic Entertainment"
101,"Snapshot","Aug 30, 2012","$9.99","N/A (N/A/74%)","200,000 .. 500,000","00:00 (00:00)","Retro Affect","Retro Affect"
102,"They Bleed Pixels","Aug 29, 2012","$9.99","68% (87%/74%)","200,000 .. 500,000","00:31 (00:25)","Spooky Squid Games Inc.","Spooky Squid Games Inc."
105,"King's Bounty: Warriors of the North","Oct 25, 2012","$9.99","49% (79%/74%)","200,000 .. 500,000","00:00 (00:00)","1C-SoftClub","1C Entertainment"
106,"Rocketbirds: Hardboiled Chicken","Oct 15, 2012","$4.99","51% (80%/74%)","200,000 .. 500,000","02:58 (03:05)","Ratloop Asia","Reverb Publishing"
110,"The Testament of Sherlock Holmes","Sep 25, 2012","$19.99","58% (83%/73%)","200,000 .. 500,000","00:00 (00:00)","Frogwares","Frogwares"
115,"Beyond Divinity","Oct 29, 2012","$5.99","13% (52%/73%)","200,000 .. 500,000","02:17 (01:31)","Larian Studios","Larian Studios"
119,"Hard Reset Extended Edition","Jul 12, 2012","$14.99","58% (83%/73%)","200,000 .. 500,000","00:31 (00:31)","Flying Wild Hog","Good Shepherd Entertainment"
122,"A New Beginning - Final Cut","Dec 11, 2012","$9.99","39% (74%/72%)","200,000 .. 500,000","00:00 (00:00)","Daedalic Entertainment","Daedalic Entertainment"
128,"Toy Soldiers","Apr 27, 2012","$9.99","77% (90%/71%)","200,000 .. 500,000","00:19 (00:06)","Signal Studios","Microsoft Studios"
129,"Tom Clancy's Ghost Recon: Future Soldier","Jun 26, 2012","$19.99","25% (65%/71%)","200,000 .. 500,000","01:47 (01:46)","Ubisoft Paris, Red Storm Entertainment","Ubisoft"
131,"Legacy of Kain: Defiance","Dec 6, 2012","$6.99","68% (87%/70%)","200,000 .. 500,000","00:35 (00:40)","Crystal Dynamics","Square Enix"
133,"Splice","Jun 13, 2012","$9.99","74% (89%/70%)","200,000 .. 500,000","00:25 (00:08)","Cipher Prime Studios","Cipher Prime Studios"
134,"Home","Aug 31, 2012","$2.99","33% (70%/69%)","200,000 .. 500,000","08:04 (05:22)","Benjamin Rivers Inc.","Benjamin Rivers Inc."
137,"Of Orcs And Men","Oct 11, 2012","$14.99","38% (73%/69%)","200,000 .. 500,000","00:00 (00:00)","Cyanide Studio - Spiders Studios","Focus Home Interactive"
142,"Primal Carnage","Oct 29, 2012","$7.99","45% (77%/67%)","200,000 .. 500,000","02:31 (02:31)","Lukewarm Media","Reverb Triple XP, Circle 5"
144,"Oil Rush","Jan 25, 2012","$7.99","16% (57%/67%)","200,000 .. 500,000","00:00 (00:00)","Unigine Corp.","Unigine Corp."
148,"I Am Alive","Sep 6, 2012","$14.99","25% (65%/66%)","200,000 .. 500,000","00:08 (00:02)","Ubisoft Shanghaï","Ubisoft"
151,"A Virus Named TOM","Aug 1, 2012","$9.99","34% (71%/65%)","200,000 .. 500,000","00:00 (00:00)","Misfits Attic","Misfits Attic"
158,"Blades of Time","Apr 20, 2012","$9.99","66% (86%/63%)","200,000 .. 500,000","00:08 (00:02)","Gaijin Entertainment Corporation","Gaijin Entertainment Corporation"
160,"Jagged Alliance - Back in Action","Feb 8, 2012","$19.99","28% (67%/62%)","200,000 .. 500,000","27:22 (09:07)","Coreplay GmbH, Bigmoon Studios","THQ Nordic"
166,"Carrier Command: Gaea Mission","Sep 28, 2012","$32.99","9% (46%/60%)","200,000 .. 500,000","00:00 (00:00)","Bohemia Interactive","Bohemia Interactive"
169,"Tower Wars","Aug 14, 2012","$7.99","36% (72%/59%)","200,000 .. 500,000","00:00 (00:00)","SuperVillain Studios","SuperVillain Studios"
172,"Game of Thrones","Jun 7, 2012","$14.99","34% (71%/58%)","200,000 .. 500,000","00:00 (00:00)","Cyanide Studios","Focus Home Interactive"
178,"SpellForce 2: Faith in Destiny","Jun 19, 2012","$14.99","19% (60%/55%)","200,000 .. 500,000","00:00 (00:00)","Mind Over Matter Studios","THQ Nordic"
179,"Nexuiz","May 10, 2012","$9.99","21% (61%/54%)","200,000 .. 500,000","00:00 (00:00)","IllFonic","IllFonic, Psyop Games"
180,"Sonic the Hedgehog 4 - Episode II","May 15, 2012","$9.99","51% (80%/54%)","200,000 .. 500,000","00:01 (00:00)","SEGA","SEGA"
181,"A Valley Without Wind","Apr 24, 2012","$14.99","24% (64%/54%)","200,000 .. 500,000","00:00 (00:00)","Arcen Games, LLC","Arcen Games, LLC"
185,"Confrontation","Apr 4, 2012","$9.99","4% (32%/51%)","200,000 .. 500,000","00:00 (00:00)","Cyanide Studio","Focus Home Interactive"
200,"LEGO Batman 2 DC Super Heroes","Jun 22, 2012","$19.99","68% (87%)","200,000 .. 500,000","07:42 (02:34)","TT Games","Warner Bros. Interactive Entertainment"
211,"English Country Tune","Aug 9, 2012","$4.99","90% (94%)","200,000 .. 500,000","00:00 (00:00)","increpare games","increpare games"
218,"Sonic CD","Jan 19, 2012","$4.99","77% (90%)","200,000 .. 500,000","01:09 (01:18)","Blit Software","SEGA"
222,"ROSE Online","Oct 23, 2012","Free","30% (68%)","200,000 .. 500,000","00:00 (00:00)","Gravity Interactive","Gravity Interactive"
231,"3SwitcheD","Mar 29, 2012","$9.99","5% (36%)","200,000 .. 500,000","04:05 (04:44)","Reality Pump","Topware Interactive"
232,"Ticket to Ride","May 24, 2012","$9.99","63% (85%)","200,000 .. 500,000","01:21 (02:01)","Days of Wonder","Days of Wonder, Asmodee Digital"
238,"Sonic the Hedgehog 4 - Episode I","Jan 19, 2012","$9.99","11% (50%)","200,000 .. 500,000","00:38 (00:25)","SEGA","SEGA"
245,"The Basement Collection","Aug 31, 2012","$3.99","66% (86%)","200,000 .. 500,000","01:36 (01:33)","Edmund McMillen, Tyler Glaiel","Edmund McMillen"
248,"Dead Pixels","Dec 7, 2012","$2.99","66% (86%)","200,000 .. 500,000","01:35 (01:03)","CSR-Studios","CSR-Studios"
253,"Adventures of Shuggy","Jun 13, 2012","$4.99","74% (89%)","200,000 .. 500,000","00:00 (00:00)","Smudged Cat Games Ltd","Smudged Cat Games Ltd"
261,"Galaxy on Fire 2 Full HD","Aug 21, 2012","$7.99","34% (71%)","200,000 .. 500,000","00:00 (00:00)","Fishlabs Entertainment GmbH","bitComposer Games"
273,"Legacy of Kain: Soul Reaver","Dec 6, 2012","$6.99","38% (73%)","200,000 .. 500,000","00:57 (00:19)","Crystal Dynamics","Square Enix"
288,"Indie Game: The Movie","Jun 12, 2012","$9.99","95% (96%)","200,000 .. 500,000","03:24 (01:08)","BlinkWorks Media","BlinkWorks Media"
292,"Iron Sky: Invasion","Dec 13, 2012","$19.99","18% (59%)","200,000 .. 500,000","03:52 (04:01)","Reality Pump","Topware Interactive"
