"year","title","index","revised","url","tags"
2015,"Blender",365670,"Blender","https://store.steampowered.com/app/365670/Blender/","Animation & Modeling,Free to Play,Game Development,Design & Illustration,Video Production,Software,GameMaker,Singleplayer,Difficult,Action,3D,Anime,Sandbox,Psychological Horror"
2015,"Darksiders II Deathinitive Edition",388410,"Darksiders_II_Deathinitive_Edition","https://store.steampowered.com/app/388410/Darksiders_II_Deathinitive_Edition/","Action,Adventure,Hack and Slash,RPG,Open World,Singleplayer,Third Person,Fantasy,Puzzle,Story Rich,Great Soundtrack,Action RPG,Parkour,Spectacle fighter,Gore,Loot,Multiplayer,Controller,Dark Fantasy,Metroidvania"
2015,"ShellShock Live",326460,"ShellShock_Live","https://store.steampowered.com/app/326460/ShellShock_Live/","Early Access,Tanks,Multiplayer,Strategy,2D,Action,Turn-Based,Early Access,Casual,Massively Multiplayer,Shooter,Indie,Online Co-Op,Colorful,Singleplayer,Co-op,Funny,Turn-Based Strategy,Great Soundtrack,Physics"
2015,"Relic Hunters Zero",382490,"Relic_Hunters_Zero","https://store.steampowered.com/app/382490/Relic_Hunters_Zero/","Free to Play,Pixel Graphics,Action,Multiplayer,Co-op,Indie,Top-Down Shooter,Local Co-Op,Shooter,Rogue-like,2D,Colorful,Cute,Twin Stick Shooter,Singleplayer,RPG,Controller,Funny,Female Protagonist,Retro"
2015,"Emily is Away",417860,"Emily_is_Away","https://store.steampowered.com/app/417860/Emily_is_Away/","Free to Play,Story Rich,Singleplayer,Indie,Choices Matter,Simulation,Interactive Fiction,Casual,Retro,Choose Your Own Adventure,Visual Novel,Dating Sim,Romance,Pixel Graphics,Short,Adventure,2D,Text-Based,Funny,Illuminati"
2015,"Strife",339280,"Strife","https://store.steampowered.com/app/339280/Strife/","Free to Play,MOBA,Multiplayer,Action,Strategy,RPG,Co-op,RTS,Massively Multiplayer,Fantasy,Online Co-Op,Adventure,Casual,Early Access,PvP,MMORPG,Open World,Singleplayer,Survival,Team-Based"
2015,"MechWarrior Online Solaris 7",342200,"MechWarrior_Online_Solaris_7","https://store.steampowered.com/app/342200/MechWarrior_Online_Solaris_7/","Free to Play,Mechs,Multiplayer,Action,Shooter,Robots,Simulation,Sci-fi,FPS,Strategy,Massively Multiplayer,PvP,Tactical,First-Person,War,Team-Based,Survival,Walking Simulator,Singleplayer,Open World"
2015,"Batman: Arkham Knight",208650,"Batman_Arkham_Knight","https://store.steampowered.com/app/208650/Batman_Arkham_Knight/",NA
2015,"Hotline Miami 2: Wrong Number",274170,"Hotline_Miami_2_Wrong_Number","https://store.steampowered.com/app/274170/Hotline_Miami_2_Wrong_Number/","Great Soundtrack,Gore,Pixel Graphics,Violent,Action,Fast-Paced,Difficult,Top-Down,Indie,Retro,1980s,Singleplayer,Atmospheric,Top-Down Shooter,2D,Blood,Shooter,Arcade,Level Editor,1990's"
2015,"Tabletop Simulator",286160,"Tabletop_Simulator","https://store.steampowered.com/app/286160/Tabletop_Simulator/","Board Game,Simulation,Multiplayer,Sandbox,Physics,Casual,Card Game,Strategy,Indie,Moddable,Chess,RPG,Singleplayer,Co-op,Masterpiece,VR,Online Co-Op,Comedy,Relaxing,Adventure"
2015,"Black Mesa",362890,"Black_Mesa","https://store.steampowered.com/app/362890/Black_Mesa/","Early Access,FPS,Remake,Action,Sci-fi,First-Person,Singleplayer,Classic,Shooter,Atmospheric,Story Rich,Early Access,Zombies,Great Soundtrack,Adventure,Aliens,Horror,Multiplayer,Indie,Mod"
